"Administrative","Administrative_Duration","Informational","Informational_Duration","ProductRelated","ProductRelated_Duration","BounceRates","ExitRates","PageValues","SpecialDay","Month","OperatingSystems","Browser","Region","TrafficType","VisitorType","Weekend","Revenue"
0,0,0,0,1,0,0,0,NA,0,"Feb",1,1,1,1,"Returning_Visitor",FALSE,FALSE
0,0,0,0,2,64,NA,0.114287309475634,NA,0,"Feb",2,2,1,2,"Returning_Visitor",FALSE,FALSE
0,0,0,0,1,0,0,0,NA,0,"Feb",4,1,9,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,2,2.666666667,0.204678774803698,0.0625451183888672,NA,0,"Feb",3,2,2,4,"Returning_Visitor",FALSE,FALSE
0,0,0,0,10,627.5,0.301029995663981,0.204678774803698,NA,0,"Feb",3,3,1,4,"Returning_Visitor",TRUE,FALSE
0,0,0,0,19,154.2166667,0.322769534884392,0.281209961172621,NA,0,"Feb",2,2,1,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,1,0,0,0,NA,0.4,"Feb",2,4,3,3,"Returning_Visitor",FALSE,FALSE
1,0,0,0,0,0,0,0,NA,0,"Feb",1,2,1,5,"Returning_Visitor",TRUE,FALSE
0,0,0,0,2,37,NA,0.114287309475634,NA,0.8,"Feb",2,2,2,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,3,738,NA,0.29097845695804,NA,0.4,"Feb",2,4,1,2,"Returning_Visitor",FALSE,FALSE
0,0,0,0,3,395,NA,0.169416146734571,NA,0,"Feb",1,1,3,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,16,407.75,0.307074101752396,0.276197367823909,NA,0.4,"Feb",1,1,4,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,7,280.5,NA,0.266019445983939,NA,0,"Feb",1,1,1,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,6,98,NA,0.169416146734571,NA,0,"Feb",2,5,1,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,2,68,NA,0.114287309475634,NA,0,"Feb",3,2,3,3,"Returning_Visitor",FALSE,FALSE
2,53,0,0,23,1668.285119,0.376615505200379,0.319835696125565,NA,0,"Feb",1,1,9,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,1,0,0,0,NA,0,"Feb",1,1,4,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,13,334.9666667,NA,0.382912339047106,NA,0,"Feb",1,1,1,4,"Returning_Visitor",TRUE,FALSE
0,0,0,0,2,32,NA,0.114287309475634,NA,0,"Feb",2,2,1,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,20,2981.166667,NA,0.361922280062142,NA,0,"Feb",2,4,4,4,"Returning_Visitor",FALSE,FALSE
0,0,0,0,8,136.1666667,NA,0.376615505200379,NA,1,"Feb",2,2,5,1,"Returning_Visitor",TRUE,FALSE
0,0,0,0,2,0,0,0,NA,0,"Feb",3,3,1,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,3,105,NA,0.249968700559497,NA,0,"Feb",3,2,1,5,"Returning_Visitor",FALSE,FALSE
0,0,0,0,2,15,NA,0.114287309475634,NA,0.8,"Feb",2,4,1,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,1,0,0,0,NA,0,"Feb",2,2,4,1,"Returning_Visitor",TRUE,FALSE
0,0,0,0,5,156,NA,0.230185711378555,NA,0,"Feb",1,1,9,3,"Returning_Visitor",FALSE,FALSE
4,64.6,0,0,32,1135.444444,0.45409723314702,0.365903225120977,NA,0,"Feb",2,2,1,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,4,76,0.204678774803698,0.114287309475634,NA,0,"Feb",1,1,1,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,4,63,NA,0.204678774803698,NA,0.2,"Feb",2,6,1,3,"Returning_Visitor",FALSE,FALSE
1,6,1,0,45,1582.75,0.220829001721794,0.202756494629621,0.261164796665202,0.4,"Feb",3,2,1,1,"Returning_Visitor",FALSE,FALSE
0,0,0,0,2,35,NA,0.114287309475634,NA,0,"Feb",1,1,6,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,3,78,NA,0.169416146734571,NA,0,"Feb",1,2,6,6,"Returning_Visitor",TRUE,FALSE
0,0,0,0,8,209.5,NA,0.279459324246068,NA,0,"Feb",2,2,1,1,"Returning_Visitor",FALSE,FALSE
0,0,0,0,10,183.6666667,0.230185711378555,0.145488534455637,NA,0,"Feb",1,1,3,1,"Returning_Visitor",FALSE,FALSE
0,0,0,0,14,380.5,0.331655629699759,0.266019445983939,NA,0,"Feb",2,2,1,1,"Returning_Visitor",FALSE,FALSE
0,0,0,0,52,2086.242857,0.325093347496119,0.299378901702403,NA,0,"Feb",2,2,7,1,"Returning_Visitor",FALSE,FALSE
0,0,0,0,8,388,0.279459324246068,0.190585887463291,NA,0,"Feb",3,2,1,4,"Returning_Visitor",TRUE,FALSE
2,18,0,0,5,298,NA,0.266019445983939,NA,0.8,"Feb",2,2,8,4,"Returning_Visitor",FALSE,FALSE
0,0,0,0,7,63,0.266019445983939,0.160515959953833,NA,0.6,"Feb",2,2,1,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,9,482,NA,0.29097845695804,NA,0,"Feb",2,5,1,6,"Returning_Visitor",FALSE,FALSE
1,9,0,0,46,4084.393939,NA,0.483871957219971,NA,0,"Feb",2,2,8,4,"Returning_Visitor",FALSE,FALSE
0,0,0,0,3,22,NA,0.169416146734571,NA,0.6,"Feb",1,1,3,2,"Returning_Visitor",FALSE,FALSE
0,0,0,0,15,310.1666667,NA,0.393947261949848,NA,0,"Feb",1,1,4,4,"Returning_Visitor",FALSE,FALSE
0,0,0,0,2,34,NA,0.204678774803698,NA,0.4,"Feb",3,2,2,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,4,88,NA,0.204678774803698,NA,0,"Feb",4,1,1,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,22,622.25,0.450178867039575,0.401144359752554,NA,0.2,"Feb",2,5,1,4,"Returning_Visitor",FALSE,FALSE
0,0,0,0,14,222.4,0.315329297287448,0.188666435317212,NA,0,"Feb",1,1,1,2,"Returning_Visitor",FALSE,FALSE
0,0,0,0,3,80,0.169416146734571,0.0704410226228421,NA,0.2,"Feb",3,2,1,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,11,800.8333333,NA,0.437808039011373,NA,0,"Feb",3,2,1,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,1,0,0,0,NA,0.6,"Feb",2,2,3,2,"Returning_Visitor",FALSE,FALSE
0,0,0,0,1,0,0,0,NA,0,"Feb",1,1,3,4,"Returning_Visitor",TRUE,FALSE
0,0,0,0,12,265.1666667,0.353199026124526,0.275128070021878,NA,0.2,"Feb",3,2,1,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,2,29,NA,0.114287309475634,NA,1,"Feb",2,4,4,2,"Returning_Visitor",TRUE,FALSE
0,0,0,0,4,160,NA,0.154110002689417,NA,0,"Feb",4,2,2,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,4,135.6666667,0.204678774803698,0.279459324246068,NA,0.4,"Feb",3,3,1,4,"Returning_Visitor",FALSE,FALSE
0,0,0,0,1,0,0,0,NA,0.2,"Feb",2,4,1,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,1,0,0,0,NA,0.6,"Feb",3,2,3,3,"Returning_Visitor",FALSE,FALSE
4,56,2,120,36,998.7416667,NA,0.328916862258201,0.355943707654822,0.2,"Feb",2,2,4,1,"Returning_Visitor",FALSE,FALSE
0,0,0,0,4,104,NA,0.204678774803698,NA,0.4,"Feb",2,6,6,3,"Returning_Visitor",FALSE,FALSE
2,16,0,0,16,381.6865079,0.348392281241065,0.212969313147244,NA,0.6,"Feb",2,4,2,1,"Returning_Visitor",FALSE,FALSE
0,0,0,0,6,169,NA,0.317892347414931,NA,0.4,"Feb",1,1,3,3,"Returning_Visitor",FALSE,FALSE
0,0,0,0,8,400.8,0.204678774803698,0.0859478532084081,NA,0,"Feb",1,1,1,3,"Returning_Visitor",FALSE,FALSE
12,279.4166667,0,0,42,1553.583333,0.370473763761923,0.302612118302457,0.295595679548988,0,"Feb",1,1,3,2,"Returning_Visitor",FALSE,FALSE
0,0,0,0,14,706.5,NA,0.388662017449783,NA,0,"Feb",2,2,5,4,"Returning_Visitor",TRUE,FALSE
